f,Owning Entity Best Guess (lookup into OwningEntities tab),HQ City,"Assets, $B, Best Guess",Owning Entity Category,Public/Private/Nonprofit/Condo status,"Company Info -- business model, how assets found, etc, incl links to evidence",Sustainability claim (any we happened to find while researching ownership),How Sleuthed. NOTE sheets bug broke hyperlinks. See tab AllSleuthData for links to supporting info,Who sleuthed owner,Sleuth pass,BEPS LegislationPropertyType,PropertyGFABuilding_s_,BuildingName,GHGEmissionsIntensityKgSqFt,TotalGHGEmissions__metric_tons_,June BEPS Target for 2031-2035,,Qualifies for Alt GHGIT,OSEBuildingID,TaxParcelIdentificationNumber,DataYear,BuildingType,Owner,CouncilDistrictCode,Neighborhood,Units,YearBuilt,City,State,ZipCode,Latitude,Longitude,PrimaryPropertyType,ListOfAllPropertyUseTypes,EPAPropertyType,ENERGYSTARScore,YearsENERGYSTARCertified,SiteEUI_kBtu_sf_,SiteEUIWN_kBtu_sf_,SiteEnergyUse_kBtu_,SiteEnergyUseWN_kBtu_,SourceEUI_kBtu_sf_,SourceEUIWN_kBtu_sf_,NaturalGas_kBtu_,NaturalGas_therms_,Electricity_kBtu_,Electricity_kWh_,SteamUse_kBtu_,OtherFuelUse_kBtu_,PropertyGFATotal,PropertyGFAParking,NumberofBuildings,NumberofFloors,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Outlier,ComplianceIssue,ComplianceStatus,Comments,DefaultData,LegislationPropertyType
76 S KING ST,Hudson Pacific Properties,Los Angeles,8.99,Real Estate Investment,Private Ownership,"Wikipedia: Hudson Pacific Properties is a real estate investment trust with 15.8 million square feet of office buildings, 1.5 million square feet of sound stages, and undeveloped rights for 3 million square feet of additional commercial property.","WE'RE COMMITTED TOMINIMIZING OUR FOOTPRINT
 We’re working to embed sustainability into every aspect of our business—whether designing a new property, reimagining a dated building, or managing our existing real estate portfolio. In 2020, we achieved net zero carbon in all operations five years ahead of schedule and set a new science-based goal to reduce absolute greenhouse gas emissions 50% by 2030 (from a 2018 baseline)",,Alice,1,Office,181290,450 ALASKAN,0.2,40,0.81,0,FALSE,50350,5247800201,2020,NonResidential,HUDSON MERRILL PLACE L L C,1,DOWNTOWN,,2017,SEATTLE,SEATTLE,98104,47.59867,-122.33519,,,Office,96,,23.6,23.6,4367050,4367050,62.8,62.8,358062,3581,4008987,1174967,0,,224714,43424,1,9,Office,184714,Parking,41143,,,,No Issue,Compliant,,,Office
2821 2ND AVE,Condominium owners,Seattle,,Condominium Owners,Condos,"Condominiums are a special case with their own business model, and at least until we get it amended, special treatment in the proposed legislation. Let's not research each owner association or/and condo management firm until we find we actually need to.",,"Search ""BAY VISTA RESIDENTIAL TOWER	2821 2ND AVE"" finds it's now condos",Alice,3,Multifamily Housing,167941,BAY VISTA RESIDENTIAL TOWER,0.2,35,0.89,0,FALSE,19708,586400000,2020,Multifamily HR (10+),,7,DOWNTOWN,NOT_FOUND,1982,SEATTLE,WA,98121,47.61706,-122.35141,,,Multifamily HR (10+),75,,33.2,33.3,4620329,4608985,90.2,90.3,219132,2191,4389852,1286592,0,,167941,0,1,24,Multifamily Housing,138787,Swimming Pool,0,,,,No Issue,Compliant,,,Multifamily Housing
1107 1ST AVE,Condominium owners,Seattle,,Condominium Owners,Condos,"Condominiums are a special case with their own business model, and at least until we get it amended, special treatment in the proposed legislation. Let's not research each owner association or/and condo management firm until we find we actually need to.",,Found listing for condos: https://www.theseattlecondogroup.com/watermark-tower,Alex,3,Multifamily Housing,195788,WATERMARK TOWER,0.2,30,0.89,0,FALSE,26159,9197200000,2020,Multifamily HR (10+),,1,DOWNTOWN,NOT_FOUND,1983,SEATTLE,WA,98101,47.60551,-122.33746,,,Multifamily HR (10+),79,,33,33.6,5717264,5624938,92.5,94,0,0,5624938,1648575,0,,195788,0,1,22,Multifamily Housing,103671,Office,63101,Restaurant,3500,,No Issue,Compliant,,,Multifamily Housing
2201 3RD AVE,Condominium owners,Seattle,,Condominium Owners,Condos,"Condominiums are a special case with their own business model, and at least until we get it amended, special treatment in the proposed legislation. Let's not research each owner association or/and condo management firm until we find we actually need to.",,,Alice,3,Multifamily Housing,117069,GRANDVIEW CONDOMINIUM,0.2,29,0.89,0,FALSE,22839,2867400000,2020,Multifamily HR (10+),,1,DOWNTOWN,NOT_FOUND,1979,SEATTLE,WA,98121,47.61388,-122.34405,,,Multifamily HR (10+),,,32.1,33.3,5670378,5468286,89.8,93.2,0,0,5468286,1602663,0,,117069,0,1,27,Multifamily Housing,164210,Parking,25600,Retail Store,6200,,No Issue,Compliant,,,Multifamily Housing
315 5TH AVE S,Martin Selig Real Estate,Seattle,1.4,Seattle Real Estate - Large,Private Ownership,Owns and Leases commercial real estate properties throughout Seattle.  Martin Selig himself is worth 1.4 according to Forbes. ,,"LLC Address and Governors match, and Selig business model is ownership, not building managment",Alice,1,Office,143508,5TH & JACKSON BUILDING,0.2,29,0.81,0,FALSE,538,5247801292,2020,NonResidential,SREH 2014 LLC,1,DOWNTOWN,NOT_FOUND,2002,SEATTLE,WA,98104,47.59963,-122.32796,,,Office,,,34.3,34.3,5386532,5386532,96,96,0,0,5386531,1578702,0,,181694,38186,1,10,Office,154414,Parking,26602,Other,1547,,No Issue,Compliant,,,Office
700 UNION ST,Bellweather Housing and ACT Theater,Seattle,N/A,Nonprofit,Nonprofit/Religious Ownership,700 Union street is occupied by ACT and affordable apartments run by Bellweather housing. Both are nonprofits,,700 Union street is occupied by affordable apartments run by Bellweather housing. Both are nonprofits,Alice,3,Entertainment/Public Assembly,166570,ACT THEATER,0.2,29,1.18,0,FALSE,293,2141290000,2020,NonResidential,,1,DOWNTOWN,44,1914,SEATTLE,WA,98101,47.61103,-122.33238,,,Other - Entertainment/Public Assembly,,,24.2,,,3114298,64.3,,249882,2499,2864416,839512,0,,166570,0,1,7,Other - Entertainment/Public Assembly,109754,Other,12876,Office,6136,,No Issue,Compliant,,,Entertainment/Public Assembly
1415 2ND AVE,Condominium owners,Seattle,,Condominium Owners,Condos,"Condominiums are a special case with their own business model, and at least until we get it amended, special treatment in the proposed legislation. Let's not research each owner association or/and condo management firm until we find we actually need to.",,,Alice,3,Multifamily Housing,174428,NEWMARK TOWER CONDOMINIUM (MULTIFAMILY PORTION),0.2,28,0.89,0,FALSE,26984,6065010000,2020,Multifamily HR (10+),,1,DOWNTOWN,NOT_FOUND,1991,SEATTLE,WA,98101,47.6087,-122.33884,,,Multifamily HR (10+),91,,30.5,31.2,5434562,5322180,85.4,87.2,0,0,5322181,1559842,0,,220018,45590,1,24,Multifamily Housing,174428,Parking,45590,,,,Account Requires Verification,Not Compliant,,,Multifamily Housing
1201 WESTERN AVE,"Martin Smith, Inc",Seattle,0.25,Seattle Real Estate - Large,Private Ownership,"Martin Smith buys and manages commercial property largely in the form of historic Seattle buildings. Their website lists 13 buildings. Back of the envelope conservative guess: 12 properties with 780K sq ft = 65K sq ft average. Most recent purchase was 30K sq ft for $8.4M in 2019. So most of their buildings are bigger, but conservatively multiplying 8.4*30=252M, so rougly 0.25B.",,"Found the building via google search, Martin Smith Inc has the building on their portfolio. Westbank Corp might be included somehow as their Seattle office is the LLC address",Alex,1,Office,122356,1201 WESTERN BUILDING,0.2,28,0.81,0,FALSE,768,7666202480,2020,NonResidential,VIRGINIA STREET JOINT VENTURE LLC,1,DOWNTOWN,NOT_FOUND,1910,SEATTLE,WA,98101,47.60576,-122.33922,,,Office,94,,33.1,33.2,3706708,3690284,89.8,89.9,178163,1782,3512122,1029344,0,,122356,0,1,7,Office,95942,Retail Store,15523,Data Center,182,,No Issue,Compliant,,,Office
2440 WESTERN AVE,Condominium owners,Seattle,,Condominium Owners,Condos,"Condominiums are a special case with their own business model, and at least until we get it amended, special treatment in the proposed legislation. Let's not research each owner association or/and condo management firm until we find we actually need to.",,Searching on address found this is a condo building,Alice,3,Multifamily Housing,139301,SITE 17,0.2,27,0.89,0,FALSE,23661,7802000000,2020,Multifamily MR (5-9),,7,DOWNTOWN,NOT_FOUND,1998,SEATTLE,WA,98121,47.61386,-122.3489,,,Multifamily MR (5-9),,,34.8,35.3,3444165,3391687,93.9,95.2,191232,1912,3200455,938000,0,,139301,0,1,8,Multifamily Housing,94506,Supermarket/Grocery Store,1448,Restaurant,1066,,No Issue,Compliant,,,Multifamily Housing
1000 WESTERN AVE,Unknown,Unknown,,,Private Ownership,"We are entering unknown in cases where ownership can't be determined, for instance if the ""Owner"" in the city's building emissions data isn't listed n WA Corporations and Charities database, or is a shell company whose agent and governers are also shell companies",,"""1000 WESTERN AVE seattle owner"" finds only various scraped rental listings, adding Business Journal, sold, etc doesn't help. Wikipedia article for historic National Building indicates it was owned by Corcoran (Paul Schell's outfit), and search on Corcoran along with National Building found this 1997 Seattle Times article on Corcoran demise traced the building through next few owners, but the trail ends with ""In 1994, the building was sold to Kingwestern, a Singapore-based real-estate syndicate, for $9.6 million."". Unfortunately Google finds no such Singapore company, and I found no later records of this building changing hands. ",Alice,3,Office,167860,NATIONAL BUILDING,0.2,27,0.81,0,FALSE,713,7666202515,2020,NonResidential,WASHINGTON STATE OF-DEPARTMENT OF TRANSPORTATION,7,DOWNTOWN,NOT_FOUND,1905,SEATTLE,WA,98104,47.6047,-122.33739,,,Office,,,30.4,31,5195638,5095736,85,86.7,0,0,5095737,1493475,0,,167860,0,1,6,Office,149581,Retail Store,18279,,,,No Issue,Compliant,,,Office
720 3RD AVE,Brickman Fund,Greenwich CT,0.175,Real Estate Development and Managment,Private Ownership,Real Estate Investment,None - their website is basically empty,"Directly named as Gov of Brickman Pacific LLC, then googled Brickman Fund",Alice,1,Office,129000,PACIFIC BUILDING,0.2,26,0.81,0,FALSE,774,942000590,2020,NonResidential,BRICKMAN PACIFIC LLC,7,DOWNTOWN,NOT_FOUND,1970,SEATTLE,WA,98104,47.60411,-122.33225,,,Office,95,,31.8,32.5,4996776,4880858,89,91.1,0,0,4880856,1430497,0,,227556,98556,1,22,Office,153513,Parking,72550,,,,No Issue,Compliant,,,Office
2720 4TH AVE,Cahill Equities,San Francisco CA,,Real Estate Investment,Private Ownership,"Rich guys in construction and real estate investment.Hard to know what they are collectively worth, but one of them is currently trying to sell a vineyard for $42M.",,"Looked starts with Verve in WA Corporations and Charities, found members of Cahil family as governors, then search for addr+Cahill found record of sale",Alice,3,Multifamily Housing,146203,Verve Apartments,0.2,26,0.89,0,FALSE,49921,696000355,2020,Multifamily HR (10+),VERVE KS LLC +VERVE RAY LLC,1,DOWNTOWN,,2014,SEATTLE,SEATTLE,98121,47.61834,-122.34832,,,Multifamily HR (10+),,,27.2,27.4,4010994,3970863,74.9,75.6,94291,943,3876571,1136158,0,,201839,55636,1,13,Multifamily Housing,140033,Parking,55636,Retail Store,3700,,No Issue,Compliant,,,Multifamily Housing
101 STEWART ST,DWS Group,"Frankfurt, DE",927,Asset Management,Private Ownership,Asset managment company,,"Googling ""101 Stewart St Seattle Owner"" found articles about sale to DWS in 2019",Alice,1,Office,100717,"101 Stewart Street, LLC",0.2,22,0.81,0,FALSE,425,1977200020,2020,NonResidential,101 STEWART STREET LLC,1,DOWNTOWN,NOT_FOUND,1986,SEATTLE,WA,98101,47.61029,-122.34089,,,Office,82,,41.6,41.6,4190638,4190638,116.5,116.5,0,0,4190639,1228206,0,,115857,15140,1,12,Office,100717,Parking,15140,,,,No Issue,Compliant,,,Office
2615 1ST AVE,Unknown,Unknown,,,Private Ownership,"We are entering unknown in cases where ownership can't be determined, for instance if the ""Owner"" in the city's building emissions data isn't listed n WA Corporations and Charities database, or is a shell company whose agent and governers are also shell companies",,,Alice,3,Multifamily Housing,132358,CEDARS APARTMENTS (BELLTOWN),0.2,22,0.89,0,FALSE,20497,1472350000,2020,Multifamily MR (5-9),CEDARS LLC,7,DOWNTOWN,60,1988,SEATTLE,WA,98121,47.61543,-122.35074,,,Multifamily MR (5-9),53,,34.2,34.8,2074526,2042757,95.8,97.3,211118,2111,2042757,598698,0,,145018,12660,1,5,Multifamily Housing,54168,Parking,12660,Restaurant,5515,,No Issue,Compliant,,,Multifamily Housing
2900 1ST AVE,Pacific Urban Investors,"Palo Alto, CA",8,Real Estate Investment & Management,Private Ownership,"""Pacific Urban is a multifamily owner, operator, and investment manager across the yield spectrum, on a national basis.""",,Address matches company headquarters,Alex,1,Multifamily Housing,129092,TWENTY NINE HUNDRED ON FIRST,0.2,21,0.89,0,FALSE,19906,695000245,2020,Multifamily MR (5-9),2900 ON FIRST APARTMENTS LLC,1,DOWNTOWN,135,1989,SEATTLE,WA,98121,47.61723,-122.35248,,,Multifamily MR (5-9),96,,30.1,30.6,3947575,3891941,84.3,85.5,10856,109,3881085,1137481,0,,188715,59623,1,5,Multifamily Housing,111118,Parking,59623,Restaurant,17974,,No Issue,Compliant,,,Multifamily Housing
101 PREFONTAINE PL S,Condominium owners,Seattle,,Condominium Owners,Condos,"Condominiums are a special case with their own business model, and at least until we get it amended, special treatment in the proposed legislation. Let's not research each owner association or/and condo management firm until we find we actually need to.",,,Alice,3,Multifamily Housing,106740,TASHIRO-KAPLAN BUILDING CONDO/MIXED USE,0.2,20,0.89,0,FALSE,655,8566600000,2020,Multifamily MR (5-9),,7,DOWNTOWN,NOT_FOUND,2002,SEATTLE,WA,98104,47.60138,-122.32997,,,Multifamily MR (5-9),,,28.5,29.3,3123058,3043226,78.4,80.4,86190,862,2957036,866658,0,,117950,11210,1,6,Multifamily Housing,66839,Other - Lodging/Residential,39901,Parking,11210,,No Issue,Compliant,,,Multifamily Housing
999 3RD AVE,The Blackstone Group,"New York, NY",991,Real Estate Investment,Private Ownership,"According to Wikipedia, ""the largest alternative investment firm in the world"", and ""Blackstone's private equity business has been one of the largest investors in leveraged buyouts in the last decade, while its real estate business has actively acquired commercial real estate.""  Apparently including at least 77 LLCs registered with WA Corporations and Charities, probably each representing a separate owned building.Blackstone's real estate portfolio had a total AUM of approximately $218 billion as of December 31, 2021. Assets $991B according to Blackstone homepage.",,"Googling address, looking up govs on Linked In => Blackstone. Biz Journal: sold to Blackstone subsidiary EQ Office.",Alice,1,Office,1323055,999 THIRD AVE,0.1,175,0.81,0,FALSE,345,939000435,2020,NonResidential,BPP 999 THIRD AVENUE OWNER LLC,1,DOWNTOWN,NOT_FOUND,1983,SEATTLE,WA,98104,47.60505,-122.33427,,,Office,88,,30.3,30.3,32985782,32985782,84.8,84.8,0,0,32985783,9667580,0,,1323055,0,1,47,Office,1088855,Parking,272682,,,,No Issue,Compliant,,,Office
83 S KING ST,Hudson Pacific Properties,Los Angeles,8.99,Real Estate Investment,Private Ownership,"Wikipedia: Hudson Pacific Properties is a real estate investment trust with 15.8 million square feet of office buildings, 1.5 million square feet of sound stages, and undeveloped rights for 3 million square feet of additional commercial property.","WE'RE COMMITTED TOMINIMIZING OUR FOOTPRINT
 We’re working to embed sustainability into every aspect of our business—whether designing a new property, reimagining a dated building, or managing our existing real estate portfolio. In 2020, we achieved net zero carbon in all operations five years ahead of schedule and set a new science-based goal to reduce absolute greenhouse gas emissions 50% by 2030 (from a 2018 baseline)",,Alice,1,Office,204504,83 KING STREET,0.1,27,0.81,0,FALSE,633,7666206895,2020,NonResidential,HUDSON FIRST & KING LLC,1,DOWNTOWN,NOT_FOUND,1904,SEATTLE,WA,98104,47.59806,-122.33475,,,Office,93,,24.9,24.9,5003415,5003415,69.8,69.8,0,0,5003415,1466417,0,,204504,0,1,7,Office,200608,Data Center,0,,,,No Issue,Compliant,,,Office
911 WESTERN AVE,STRS Ohio,"Columbus, OH",88.9,Pension Fund,Private Ownership,"STRS Ohio is a public pension fund for teachers and school administrators in the state of Ohio. The fund's assets are invested in a diversified portfolio that includes domestic and international stocks, bonds, real estate, private equity, and other alternative investments.",,,Alice,1,Office,211043,MARITIME BUILDING,0.1,25,0.81,0,FALSE,714,7666202525,2020,NonResidential,BCSP MARITIME BUILDING,1,DOWNTOWN,NOT_FOUND,1911,SEATTLE,WA,98104,47.60378,-122.33741,,,Office,99,,20.4,20.7,4626084,4556953,56.9,57.8,6363,64,4550591,1333702,0,,241685,30642,1,5,Office,223860,Parking,32335,,,,No Issue,Compliant,,,Office
200 OCCIDENTAL AVE S,Urban Visions,Seattle,1.25,Seattle Real Estate - Large,Private Ownership,"Valued at $1.25B, according to their website.  Recently purchased a $128M property.","On home page: At Urban Visions, we see commercial development differently. It’s more than a way to make a living — it’s a way to make a lasting impact on the social, cultural and environmental health of urban communities. The principles underlying this vision are sustainable development, smart growth, increased density, and transformational place-making. Our innovative design solutions maximize the human value of cities. On About page until only recently (I remember it, so likely taken down in late April 2023): Known as innovators in sustainable real esate and green building practices, they plan, develop, renovate and manage properties to LEED standards.","HQ of Weyerhauser though owned by Urban Visions. Claims to be fully decarbonized ""A Completely Decarbonized Building in Seattle's Historic District Pioneer Square"" from Urban Visions website",Alex,3,Office,188816,WEYERHAEUSER HQ,0.1,24,0.81,0,FALSE,50186,524780-0614,2020,NonResidential,NOT FOUND,7,DOWNTOWN,,2016,SEATTLE,SEATTLE,98104,47.60039,-122.33247,,,Office,98,,20.8,20.8,4532140,4532140,58.2,58.2,0,0,4532139,1328294,0,,213803,24987,1,8,Office,217888,,,,,,No Issue,Compliant,,,Office
536 1ST AVE S,Condominium owners,Seattle,,Condominium Owners,Condos,"Condominiums are a special case with their own business model, and at least until we get it amended, special treatment in the proposed legislation. Let's not research each owner association or/and condo management firm until we find we actually need to.",,,Alice,3,Multifamily Housing,201656,FLORENTINE CONDOMINIUM,0.1,20,0.89,0,FALSE,22351,2585000000,2020,Multifamily MR (5-9),,2,DOWNTOWN,NOT_FOUND,1909,SEATTLE,WA,98104,47.59731,-122.33369,,,Multifamily MR (5-9),87,,22.8,23.2,3876076,3825708,64,64.8,0,0,3825708,1121251,0,,201656,0,1,6,Multifamily Housing,152893,Retail Store,14536,,,,No Issue,Compliant,,,Multifamily Housing
2500 3RD AVE,Equity Residential,"Chicago, IL",20.2,Real Estate Investment,Private Ownership,Wikipedia: Equity Residential is a publicly traded real estate investment trust that invests in apartments. Total assets        Increase $21.169 billion (2021),,"Found apartment website, leads back to them as managers (and their website indicates they are a REIT who invest in, not just manage, apartment buildings). Also, parcel owner starts with their stock symbol.",Alice,3,Multifamily Housing,142497,COURT AT CENTENNIAL APTS,0.1,20,0.89,0,FALSE,19885,656000451,2020,Multifamily MR (5-9),EQR CENTENNIAL COURT LLC,7,DOWNTOWN,187,2000,SEATTLE,WA,98121,47.61637,-122.34706,,,Multifamily MR (5-9),99,,26.1,26.3,3749412,3717454,73,73.7,0,0,3717452,1089523,0,,192077,49580,1,7,Multifamily Housing,142497,Parking,49580,,,,No Issue,Compliant,,,Multifamily Housing
